Dataset,Raw_Labels,Kingdom,Phylum,Class,Order,Family,Genus,Species,proposed_label,plankton,living
whoi,Delphineis,chromista,heterokontophyta,bacillariophyceae,rhaponeidales,rhaphoneidaceae,delphineis,,delphineis,True,True
whoi,Dictyocha,chromista,ochrophyta,dictyochophyceae,dictyochales,dictyochaceae,dictyocha,,dictyocha,True,True
whoi,Didinium_sp,chromista,ciliophora,litostomatea,haptorida,didiniidae,didinium,,didinium,True,True
whoi,Dinobryon,chromista,ochrophyta,chrysophyceae,chromulinales,dinobryaceae,dinobryon,,dinobryon,True,True
whoi,Dinophysis,chromista,myzozoa,dinophyceae,dinophysales,dinophysaceae,dinophysis,,dinophysis,True,True
whoi,Ditylum,chromista,heterokontophyta,bacillariophyceae,lithodesmiales,lithodesmiaceae,ditylum,,ditylum,True,True
whoi,Ditylum_parasite,chromista,heterokontophyta,bacillariophyceae,lithodesmiales,lithodesmiaceae,ditylum,,ditylum,True,True
whoi,Emiliania_huxleyi,chromista,haptophyta,coccolithophyceae,isochrysidales,noelaerhabdaceae,gephyrocapsa,huxleyi,gephyrocapsa huxleyi,True,True
whoi,Ephemera,animalia,arthropoda,hexapoda,ephemeroptera,ephemeridae,ephemera,,ephemera,True,True
whoi,Eucampia,chromista,heterokontophyta,bacillariophyceae,hemiaulales,hemiaulaceae,eucampia,,eucampia,True,True
whoi,Euglena,protozoa,euglenozoa,euglenophyceae,euglenales,euglenaceae,euglena,,euglena,True,True
whoi,Euplotes_sp,chromista,ciliophora,spirotrichea,euplotida,euplotidae,euplotes,,euplotes,True,True
whoi,G_delicatula_detritus,chromista,heterokontophyta,bacillariophyceae,rhizosoleniales,rhizosoleniaceae,guinardia,delicatula,guinardia delicatula,True,False
whoi,G_delicatula_external_parasite,chromista,heterokontophyta,bacillariophyceae,rhizosoleniales,rhizosoleniaceae,guinardia,delicatula,guinardia delicatula,True,True
whoi,G_delicatula_parasite,chromista,heterokontophyta,bacillariophyceae,rhizosoleniales,rhizosoleniaceae,guinardia,delicatula,guinardia delicatula,True,True
whoi,Gonyaulax,chromista,myzozoa,dinophyceae,gonyaulacales,gonyaulacaceae,gonyaulax,,gonyaulax,True,True
whoi,Guinardia_delicatula,chromista,heterokontophyta,bacillariophyceae,rhizosoleniales,rhizosoleniaceae,guinardia,delicatula,guinardia delicatula,True,True
whoi,Guinardia_flaccida,chromista,heterokontophyta,bacillariophyceae,rhizosoleniales,rhizosoleniaceae,guinardia,flaccida,guinardia flaccida,True,True
whoi,Guinardia_striata,chromista,heterokontophyta,bacillariophyceae,rhizosoleniales,rhizosoleniaceae,guinardia,striata,guinardia striata,True,True
whoi,Gyrodinium,chromista,myzozoa,dinophyceae,gymnodiniales,gyrodiniaceae,gyrodinium,,gyrodinium,True,True
whoi,Hemiaulus,chromista,heterokontophyta,bacillariophyceae,hemiaulales,hemiaulaceae,hemiaulus,,hemiaulus,True,True
whoi,Heterocapsa_triquetra,chromista,myzozoa,dinophyceae,peridiniales,peridiniaceae,kryptoperidinium,triquetrum,kryptoperidinium triquetrum,True,True
whoi,Karenia,chromista,myzozoa,dinophyceae,gymnodiniales,kareniaceae,karenia,,karenia,True,True
whoi,Katodinium_or_Torodinium,chromista,myzozoa,dinophyceae,,,,,dinophyceae,True,True
whoi,Laboea_strobila,chromista,ciliophora,oligotrichea,oligotrichida,tontoniidae,laboea,strobila,laboea strobila,True,True
whoi,Lauderia,chromista,heterokontophyta,bacillariophyceae,thalassiosirales,lauderiaceae,lauderia,,lauderia,True,True
whoi,Leegaardiella_ovalis,chromista,ciliophora,oligotrichea,choreotrichida,leegaardiellidae,leegaardiella,ovalis,leegaardiella ovalis,True,True
whoi,Leptocylindrus,chromista,heterokontophyta,bacillariophyceae,leptocylindrales,leptocylindraceae,leptocylindrus,,leptocylindrus,True,True
whoi,Leptocylindrus_mediterraneus,chromista,heterokontophyta,bacillariophyceae,leptocylindrales,leptocylindraceae,leptocylindrus,mediterraneus,leptocylindrus mediterraneus,True,True
whoi,Licmophora,chromista,heterokontophyta,bacillariophyceae,licmophorales,licmophoraceae,licmophora,,licmophora,True,True
whoi,Mesodinium_sp,chromista,ciliophora,litostomatea,cyclotrichiida,mesodiniidae,mesodinium,,mesodinium,True,True
whoi,Odontella,chromista,heterokontophyta,bacillariophyceae,triceratiales,triceratiaceae,odontella,,odontella,True,True
whoi,Paralia,chromista,heterokontophyta,bacillariophyceae,paraliales,paraliaceae,paralia,,paralia,True,True
whoi,Parvicorbicula_socialis,protozoa,choanozoa,choanoflagellatea,acanthoecida,acanthoecidae,parvicorbicula,socialis,parvicorbicula socialis,True,True
whoi,Phaeocystis,chromista,haptophyta,coccolithophyceae,phaeocystales,phaeocystaceae,phaeocystis,,phaeocystis,True,True
whoi,Pleuronema_sp,chromista,ciliophora,oligohymenophorea,pleuronematida,pleuronematidae,pleuronema,,pleuronema,True,True
whoi,Pleurosigma,chromista,heterokontophyta,bacillariophyceae,naviculales,pleurosigmataceae,pleurosigma,,pleurosigma,True,True
whoi,Prorocentrum,chromista,myzozoa,dinophyceae,prorocentrales,prorocentraceae,prorocentrum,,prorocentrum,True,True
whoi,Proterythropsis_sp,chromista,myzozoa,dinophyceae,gymnodiniales,warnowiaceae,proterythropsis,,proterythropsis,True,True
whoi,Protoperidinium,chromista,myzozoa,dinophyceae,peridiniales,protoperidiniaceae,protoperidinium,,protoperidinium,True,True
whoi,Pseudochattonella_farcimen,chromista,ochrophyta,dictyochophyceae,florenciellales,florenciellales,pseudochattonella,farcimen,pseudochattonella farcimen,True,True
whoi,Pseudonitzschia,chromista,heterokontophyta,bacillariophyceae,bacillariales,bacillariaceae,pseudo-nitzschia,,pseudo-nitzschia,True,True
whoi,Pyramimonas_longicauda,plantae,chlorophyta,pyramimonadophyceae,pyramimonadales,pyramimonadaceae,pyramimonas,longicauda,pyramimonas longicauda,True,True
whoi,Rhizosolenia,chromista,heterokontophyta,bacillariophyceae,rhizosoleniales,rhizosoleniaceae,rhizosolenia,,rhizosolenia,True,True
whoi,Skeletonema,chromista,heterokontophyta,bacillariophyceae,thalassiosirales,skeletonemaceae,skeletonema,,skeletonema,True,True
whoi,Stephanopyxis,chromista,heterokontophyta,bacillariophyceae,melosirales,stephanopyxidaceae,stephanopyxis,,stephanopyxis,True,True
whoi,Strobilidium_morphotype1,chromista,ciliophora,oligotrichea,choreotrichida,strobilidiidae,strobilidium,,strobilidium,True,True
whoi,Strombidium_capitatum,chromista,ciliophora,oligotrichea,oligotrichida,strombidiidae,strombidium,capitatum,strombidium capitatum,True,True
whoi,Strombidium_conicum,chromista,ciliophora,oligotrichea,oligotrichida,strombidiidae,strombidium,conicum,strombidium conicum,True,True
whoi,Strombidium_inclinatum,chromista,ciliophora,oligotrichea,oligotrichida,strombidiidae,strombidium,inclinatum,strombidium inclinatum,True,True
whoi,Strombidium_morphotype1,chromista,ciliophora,oligotrichea,oligotrichida,strombidiidae,strombidium,,strombidium,True,True
whoi,Strombidium_morphotype2,chromista,ciliophora,oligotrichea,oligotrichida,strombidiidae,strombidium,,strombidium,True,True
whoi,Strombidium_oculatum,chromista,ciliophora,oligotrichea,oligotrichida,strombidiidae,strombidium,oculatum,strombidium oculatum,True,True
whoi,Strombidium_wulffi,chromista,ciliophora,oligotrichea,oligotrichida,strombidiidae,strombidium,wulffi,strombidium wulffi,True,True
whoi,Thalassionema,chromista,heterokontophyta,bacillariophyceae,thalassionematales,thalassionemataceae,thalassionema,,thalassionema,True,True
whoi,Thalassiosira,chromista,heterokontophyta,bacillariophyceae,thalassiosirales,thalassiosiraceae,thalassiosira,,thalassiosira,True,True
whoi,Thalassiosira_dirty,chromista,heterokontophyta,bacillariophyceae,thalassiosirales,thalassiosiraceae,thalassiosira,,thalassiosira,True,True
whoi,Tiarina_fusus,chromista,ciliophora,prostomatea,prorodontida,colepidae,tiarina,fusus,tiarina fusus,True,True
whoi,Tintinnid,chromista,ciliophora,spirotrichea,tintinnida,,,,tintinnida,True,True
whoi,Tontonia_appendiculariformis,chromista,ciliophora,oligotrichea,oligotrichida,tontoniidae,tontonia,appendiculariformis,tontonia appendiculariformis,True,True
whoi,Tontonia_gracillima,chromista,ciliophora,oligotrichea,oligotrichida,tontoniidae,tontonia,gracillima,tontonia gracillima,True,True
whoi,amoeba,protozoa,amoebozoa,tubulinea,euamoebida,amoebidae,amoeba,,amoeba,True,True
whoi,bad,,,,,,,,,False,False
whoi,bead,,,,,,,,,False,False
whoi,bubble,,,,,,,,,False,False
whoi,clusterflagellate,protozoa,choanozoa,choanoflagellatea,,,,,choanoflagellatea,True,True
whoi,detritus,,,,,,,,,False,False
whoi,diatom_flagellate,chromista,heterokontophyta,bacillariophyceae,,,,,bacillariophyceae,True,True
whoi,dino30,chromista,myzozoa,dinophyceae,,,,,dinophyceae,True,True
whoi,dino_large1,chromista,myzozoa,dinophyceae,,,,,dinophyceae,True,True
whoi,flagellate_sp3,protozoa,choanozoa,choanoflagellatea,,,,,choanoflagellatea,True,True
whoi,kiteflagellates,protozoa,euglenozoa,kinetoplastea,bodonida,,,,bodonida,True,True
whoi,mix,,,,,,,,,False,False
whoi,mix_elongated,,,,,,,,,False,False
whoi,other_interaction,,,,,,,,,False,False
whoi,pennate,chromista,heterokontophyta,bacillariophyceae,pennales,,,,pennales,True,True
whoi,pennate_morphotype1,chromista,heterokontophyta,bacillariophyceae,pennales,,,,pennales,True,True
whoi,pennates_on_diatoms,chromista,heterokontophyta,bacillariophyceae,pennales,,,,pennales,True,True
whoi,pollen,,,,,,,,,False,True
whoi,spore,,,,,,,,,True,True
whoi,zooplankton,protozoa,,,,,,,protozoa,True,True
zoolake,aphanizomenon,bacteria,cyanobacteria,cyanophyceae,nostocales,aphanizomenonaceae,aphanizomenon,,aphanizomenon,True,True
zoolake,asplanchna,animalia,rotifera,eurotatoria,ploima,asplanchnidae,asplanchna,,asplanchna,True,True
zoolake,asterionella,chromista,heterokontophyta,bacillariophyceae,fragilariales,fragilariaceae,asterionella,,asterionella,True,True
zoolake,bosmina,animalia,arthropoda,branchiopoda,anomopoda,bosminidae,bosmina,,bosmina,True,True
zoolake,brachionus,animalia,rotifera,eurotatoria,ploima,brachionidae,brachionus,,brachionus,True,True
zoolake,ceratium,chromista,myzozoa,dinophyceae,gonyaulacales,ceratiaceae,ceratium,,ceratium,True,True
zoolake,chaoborus,animalia,arthropoda,insecta,diptera,chaoboridae,chaoborus,,chaoborus,True,True
zoolake,conochilus,animalia,rotifera,eurotatoria,flosculariaceae,conochilidae,conochilus,,conochilus,True,True
zoolake,copepod_skins,animalia,arthropoda,copepoda,,,,,copepoda,True,False
zoolake,cyclops,animalia,arthropoda,copepoda,cyclopoida,cyclopidae,cyclops,,cyclops,True,True
zoolake,daphnia,animalia,arthropoda,branchiopoda,anomopoda,daphniidae,daphnia,,daphnia,True,True
zoolake,daphnia_skins,animalia,arthropoda,branchiopoda,anomopoda,daphniidae,daphnia,,daphnia,True,True
zoolake,diaphanosoma,animalia,arthropoda,branchiopoda,ctenopoda,sididae,diaphanosoma,,diaphanosoma,True,True
zoolake,diatom_chain,chromista,heterokontophyta,bacillariophyceae,,,,,bacillariophyceae,True,True
zoolake,dinobryon,chromista,ochrophyta,chrysophyceae,chromulinales,dinobryaceae,dinobryon,,dinobryon,True,True
zoolake,dirt,,,,,,,,,False,False
zoolake,eudiaptomus,animalia,arthropoda,copepoda,calanoida,diaptomidae,eudiaptomus,,eudiaptomus,True,True
zoolake,filament,bacteria,cyanobacteria,cyanophyceae,,,,,cyanophyceae,True,True
zoolake,fish,animalia,chordata,,,,,,chordata,False,True
zoolake,fragilaria,chromista,heterokontophyta,bacillariophyceae,fragilariales,fragilariaceae,fragilaria,,fragilaria,True,True
zoolake,hydra,animalia,cnidaria,hydrozoa,anthoathecata,hydridae,hydra,,hydra,True,True
zoolake,kellicottia,animalia,rotifera,eurotatoria,ploima,brachionidae,kellicottia,,kellicottia,True,True
zoolake,keratella_cochlearis,animalia,rotifera,eurotatoria,ploima,brachionidae,keratella,cochlearis,keratella cochlearis,True,True
zoolake,keratella_quadrata,animalia,rotifera,eurotatoria,ploima,brachionidae,keratella,quadrata,keratella quadrata,True,True
zoolake,leptodora,animalia,arthropoda,branchiopoda,haplopoda,leptodoridae,leptodora,,leptodora,True,True
zoolake,maybe_cyano,bacteria,cyanobacteria,cyanophyceae,,,,,cyanophyceae,True,True
zoolake,nauplius,animalia,arthropoda,copepoda,cyclopoida,cyclopidae,cyclops,,cyclops,True,True
zoolake,paradileptus,chromista,ciliophora,litostomatea,haptorida,tracheliidae,paradileptus,,paradileptus,True,True
zoolake,polyarthra,animalia,rotifera,eurotatoria,ploima,synchaetidae,polyarthra,,polyarthra,True,True
zoolake,rotifers,animalia,rotifera,,,,,,rotifera,True,True
zoolake,synchaeta,animalia,rotifera,eurotatoria,ploima,synchaetidae,synchaeta,,synchaeta,True,True
zoolake,trichocerca,animalia,rotifera,eurotatoria,ploima,trichocercidae,trichocerca,,trichocerca,True,True
zoolake,unknown,,,,,,,,,False,False
zoolake,unknown_plankton,,,,,,,,,True,True
zoolake,uroglena,chromista,ochrophyta,chrysophyceae,ochromonadales,ochromonadaceae,uroglena,,uroglena,True,True
lensless,ACTINOSPHAERIUM NUCLEOFILUM,chromista,ochrophyta,raphidophyceae,actinophryida,actinosphaeriidae,actinosphaerium,nucleofilum,actinosphaerium nucleofilum,True,True
lensless,ARCELLA VULGARIS,protozoa,amoebozoa,tubulinea,arcellinida,arcellidae,arcella,vulgaris,arcella vulgaris,True,True
lensless,BLEPHARISMA AMERICANUM,chromista,ciliophora,heterotrichea,heterotrichida,blepharismidae,blepharisma,americanum,blepharisma americanum,True,True
lensless,DIDINIUM NASUTUM,chromista,ciliophora,litostomatea,haptorida,didiniidae,didinium,nasutum,didinium nasutum,True,True
lensless,DILEPTUS,chromista,ciliophora,litostomatea,haptorida,tracheliidae,dileptus,,dileptus,True,True
lensless,EUPLOTES EURYSTOMUS,chromista,ciliophora,spirotrichea,euplotida,euplotidae,euplotes,eurystomus,euplotes eurystomus,True,True
lensless,PARAMECIUM  BURSARIA,chromista,ciliophora,oligohymenophorea,peniculida,parameciidae,paramecium,bursaria,paramecium bursaria,True,True
lensless,SPIROSTOMUM AMBIGUUM,chromista,ciliophora,heterotrichea,heterotrichida,spirostomidae,spirostomum,ambiguum,spirostomum ambiguum,True,True
lensless,STENTOR COERULEUS,chromista,ciliophora,heterotrichea,heterotrichida,stentoridae,stentor,coeruleus,stentor coeruleus,True,True
lensless,VOLVOX,plantae,chlorophyta,chlorophyceae,chlamydomonadales,volvocaceae,volvox,,volvox,True,True
sykezooscan2024,Bivalvia,animalia,mollusca,bivalvia,,,,,bivalvia,True,True
sykezooscan2024,Bivalvia_multiple,animalia,mollusca,bivalvia,,,,,bivalvia,True,True
sykezooscan2024,Bosmina_sp,animalia,arthropoda,branchiopoda,anomopoda,bosminidae,bosmina,,bosmina,True,True
sykezooscan2024,Bubbles,,,,,,,,,False,False
sykezooscan2024,Ceriodaphnia_sp,animalia,arthropoda,branchiopoda,anomopoda,daphniidae,ceriodaphnia,,ceriodaphnia,True,True
sykezooscan2024,Copepoda_calanoida,animalia,arthropoda,copepoda,calanoida,,,,calanoida,True,True
sykezooscan2024,Copepoda_cyclopoida,animalia,arthropoda,copepoda,cyclopoida,,,,cyclopoida,True,True
sykezooscan2024,Copepoda_nauplius,animalia,arthropoda,copepoda,cyclopoida,cyclopidae,cyclops,,cyclops,True,True
sykezooscan2024,Daphnia_sp,animalia,arthropoda,branchiopoda,anomopoda,daphniidae,daphnia,,daphnia,True,True
sykezooscan2024,Eggs,,,,,,,,,False,True
sykezooscan2024,Evadne_sp,animalia,arthropoda,branchiopoda,onychopoda,podonidae,evadne,,evadne,True,True
sykezooscan2024,Fibers_etc,,,,,,,,,False,False
sykezooscan2024,Fish_eggs,,,,,,,,,False,True
sykezooscan2024,Gastropoda,animalia,mollusca,gastropoda,,,,,gastropoda,True,True
sykezooscan2024,Harpacticoida,animalia,arthropoda,copepoda,harpacticoida,,,,harpacticoida,True,True
sykezooscan2024,Mysis_sp,animalia,arthropoda,malacostraca,mysida,mysidae,mysis,,mysis,True,True
sykezooscan2024,Podon_sp,animalia,arthropoda,branchiopoda,onychopoda,podonidae,podon,,podon,True,True
sykezooscan2024,Polychaeta,animalia,annelida,polychaeta,,,,,polychaeta,True,True
sykezooscan2024,Sessilia,animalia,arthropoda,thecostraca,sessilia,,,,sessilia,True,True
sykezooscan2024,Synchaeta_sp,animalia,rotifera,eurotatoria,ploima,synchaetidae,synchaeta,,synchaeta,True,True
medplanktonset,Akashiwo_sanguinea,chromista,myzozoa,dinophyceae,gymnodiniales,gymnodiniaceae,akashiwo,sanguinea,akashiwo sanguinea,True,True
medplanktonset,Alexandrium_spp,chromista,myzozoa,dinophyceae,gonyaulacales,pyrocystaceae,alexandrium,,alexandrium,True,True
medplanktonset,Amphidinium_spp,chromista,myzozoa,dinophyceae,amphidiniales,amphidiniaceae,amphidinium,,amphidinium,True,True
medplanktonset,Appendicularia,animalia,chordata,appendicularia,,,,,appendicularia,True,True
medplanktonset,Asterionellopsis_cf._glacialis,chromista,heterokontophyta,bacillariophyceae,fragilariales,fragilariaceae,asterionellopsis,glacialis,asterionellopsis glacialis,True,True
medplanktonset,Asteromphalus_sarcophagus,chromista,heterokontophyta,bacillariophyceae,asterolamprales,asterolampraceae,asteromphalus,sarcophagus,asteromphalus sarcophagus,True,True
medplanktonset,Asteromphalus_spp,chromista,heterokontophyta,bacillariophyceae,asterolamprales,asterolampraceae,asteromphalus,,asteromphalus,True,True
medplanktonset,Azadinium_caudatum,chromista,myzozoa,dinophyceae,dinophyceae,amphidomataceae,azadinium,caudatum,azadinium caudatum,True,True
medplanktonset,Bacteriastrum_spp,chromista,heterokontophyta,bacillariophyceae,chaetocerotanae,chaetocerotaceae,bacteriastrum,,bacteriastrum,True,True
medplanktonset,Calciopappus_caudatus,chromista,haptophyta,coccolithophyceae,syracosphaerales,syracosphaeraceae,calciopappus,caudatus,calciopappus caudatus,True,True
medplanktonset,Calciosolenia_brasiliensis,chromista,haptophyta,coccolithophyceae,syracosphaerales,calciosoleniaceae,calciosolenia,brasiliensis,calciosolenia brasiliensis,True,True
medplanktonset,Centric_diatoms,chromista,heterokontophyta,bacillariophyceae,centrales,,,,centrales,True,True
medplanktonset,Cerataulina_pelagica,chromista,heterokontophyta,bacillariophyceae,hemiaulales,hemiaulaceae,cerataulina,pelagica,cerataulina pelagica,True,True
medplanktonset,Ceratoperidinium_margalefii,chromista,myzozoa,dinophyceae,gymnodiniales,warnowiaceae,ceratoperidinium,margalefii,ceratoperidinium margalefii,True,True
medplanktonset,Chaetoceros_anastomonsans,chromista,heterokontophyta,bacillariophyceae,chaetocerotanae,chaetocerotaceae,chaetoceros,anastomonsans,chaetoceros anastomonsans,True,True
medplanktonset,Chaetoceros_curvisetus_Chaetoceros_pseudocurvisetus,chromista,heterokontophyta,bacillariophyceae,chaetocerotanae,chaetocerotaceae,chaetoceros,,chaetoceros,True,True
medplanktonset,Chaetoceros_danicus,chromista,heterokontophyta,bacillariophyceae,chaetocerotanae,chaetocerotaceae,chaetoceros,danicus,chaetoceros danicus,True,True
medplanktonset,Chaetoceros_decipiens,chromista,heterokontophyta,bacillariophyceae,chaetocerotanae,chaetocerotaceae,chaetoceros,decipiens,chaetoceros decipiens,True,True
medplanktonset,Chaetoceros_diversus,chromista,heterokontophyta,bacillariophyceae,chaetocerotanae,chaetocerotaceae,chaetoceros,diversus,chaetoceros diversus,True,True
medplanktonset,Chaetoceros_peruvianus,chromista,heterokontophyta,bacillariophyceae,chaetocerotanae,chaetocerotaceae,chaetoceros,peruvianus,chaetoceros peruvianus,True,True
medplanktonset,Chaetoceros_protuberans_Chaetoceros_didymus,chromista,heterokontophyta,bacillariophyceae,chaetocerotanae,chaetocerotaceae,chaetoceros,,chaetoceros,True,True
medplanktonset,Chaetoceros_socialis,chromista,heterokontophyta,bacillariophyceae,chaetocerotanae,chaetocerotaceae,chaetoceros,socialis,chaetoceros socialis,True,True
medplanktonset,Chaetoceros_spp,chromista,heterokontophyta,bacillariophyceae,chaetocerotanae,chaetocerotaceae,chaetoceros,,chaetoceros,True,True
medplanktonset,Chaetoceros_tortissimus,chromista,heterokontophyta,bacillariophyceae,chaetocerotanae,chaetocerotaceae,chaetoceros,tortissimus,chaetoceros tortissimus,True,True
medplanktonset,Chrysochromulina_lanceolata,chromista,haptophyta,coccolithophyceae,prymnesiales,chrysochromulinaceae,chrysochromulina,lanceolata,chrysochromulina lanceolata,True,True
medplanktonset,Chrysochromulina_parkeae,chromista,haptophyta,coccolithophyceae,prymnesiales,chrysochromulinaceae,chrysochromulina,parkeae,chrysochromulina parkeae,True,True
medplanktonset,Ciliates,chromista,ciliophora,,,,,,ciliophora,True,True
medplanktonset,Cladopyxis_cf._brachiolata,chromista,myzozoa,dinophyceae,gonyaulacales,cladopyxidaceae,cladopyxis,brachiolata,cladopyxis brachiolata,True,True
medplanktonset,Copepod_copepodites,animalia,arthropoda,copepoda,,,,,copepoda,True,True
medplanktonset,Copepod_eggs,animalia,arthropoda,copepoda,,,,,copepoda,True,True
medplanktonset,Copepod_nauplii,animalia,arthropoda,copepoda,,,,,copepoda,True,True
medplanktonset,Corythodinium_constrictum,chromista,myzozoa,dinophyceae,peridiniales,oxytoxaceae,corythodinium,constrictum,corythodinium constrictum,True,True
medplanktonset,Corythodinium_milneri,chromista,myzozoa,dinophyceae,peridiniales,oxytoxaceae,corythodinium,milneri,corythodinium milneri,True,True
medplanktonset,Cryptophyceae,chromista,cryptophyta,cryptophyceae,,,,,cryptophyceae,True,True
medplanktonset,Cylindrotheca_closterium-like,chromista,heterokontophyta,bacillariophyceae,bacillariales,bacillariaceae,cylindrotheca,closterium,cylindrotheca closterium,True,True
medplanktonset,Dactyliosolen_blavyanus,chromista,heterokontophyta,bacillariophyceae,rhizosoleniales,rhizosoleniaceae,dactyliosolen,blavyanus,dactyliosolen blavyanus,True,True
medplanktonset,Dactyliosolen_fragilissimus,chromista,heterokontophyta,bacillariophyceae,rhizosoleniales,rhizosoleniaceae,dactyliosolen,fragilissimus,dactyliosolen fragilissimus,True,True
medplanktonset,Dictyocha_fibula,chromista,ochrophyta,dictyochophyceae,dictyochales,dictyochaceae,dictyocha,fibula,dictyocha fibula,True,True
medplanktonset,Dictyocysta_spp._Codonaria_spp,chromista,ciliophora,oligotrichea,choreotrichida,,,,choreotrichida,True,True
medplanktonset,Dinobryon_coalescens,chromista,ochrophyta,chrysophyceae,chromulinales,dinobryaceae,dinobryon,coalescens,dinobryon coalescens,True,True
medplanktonset,Dinophysis_caudata,chromista,myzozoa,dinophyceae,dinophysales,dinophysaceae,dinophysis,caudata,dinophysis caudata,True,True
medplanktonset,Dinophysis_parva,chromista,myzozoa,dinophyceae,dinophysales,dinophysaceae,dinophysis,parva,dinophysis parva,True,True
medplanktonset,Dinophysis_sacculus,chromista,myzozoa,dinophyceae,dinophysales,dinophysaceae,dinophysis,sacculus,dinophysis sacculus,True,True
medplanktonset,Dinophysis_spp,chromista,myzozoa,dinophyceae,dinophysales,dinophysaceae,dinophysis,,dinophysis,True,True
medplanktonset,Dinophysis_tripos,chromista,myzozoa,dinophyceae,dinophysales,dinophysaceae,dinophysis,tripos,dinophysis tripos,True,True
medplanktonset,Discosphaera_tubifera,chromista,haptophyta,coccolithophyceae,syracosphaerales,rhabdosphaeraceae,discosphaera,tubifera,discosphaera tubifera,True,True
medplanktonset,Eucampia_cornuta,chromista,heterokontophyta,bacillariophyceae,hemiaulales,hemiaulaceae,eucampia,cornuta,eucampia cornuta,True,True
medplanktonset,Euglenophyceae,protozoa,euglenozoa,euglenophyceae,,,,,euglenophyceae,True,True
medplanktonset,Gonyaulax_polygramma,chromista,myzozoa,dinophyceae,gonyaulacales,gonyaulacaceae,gonyaulax,polygramma,gonyaulax polygramma,True,True
medplanktonset,Gonyaulax_spp,chromista,myzozoa,dinophyceae,gonyaulacales,gonyaulacaceae,gonyaulax,,gonyaulax,True,True
medplanktonset,Guinardia_flaccida,chromista,heterokontophyta,bacillariophyceae,rhizosoleniales,rhizosoleniaceae,guinardia,flaccida,guinardia flaccida,True,True
medplanktonset,Guinardia_striata_Dactyliosolen_phuketensis,chromista,heterokontophyta,bacillariophyceae,rhizosoleniales,rhizosoleniaceae,,,rhizosoleniaceae,True,True
medplanktonset,Gyrodinium_spirale_Gyrodinium_fusiforme,chromista,myzozoa,dinophyceae,gymnodiniales,gyrodiniaceae,gyrodinium,,gyrodinium,True,True
